HGT,Seed,Raw_Multi_AMR,Proc_Multi_AMR,Combined_Multi_AMR
0.0,36,0.07526881720430108,0.06896551724137931,0.0721171672228402
0.0,37,0.012345679012345678,0.08080808080808081,0.04657687991021325
0.0,38,0.0297029702970297,0.05063291139240506,0.04016794084471738
0.0,39,0.025,0.08,0.052500000000000005
0.0,40,0.03260869565217391,0.06818181818181818,0.05039525691699605
0.0,41,0.03333333333333333,0.05555555555555555,0.04444444444444444
0.0,42,0.058823529411764705,0.05263157894736842,0.05572755417956656
0.0,43,0.08602150537634409,0.05747126436781609,0.0717463848720801
0.0,44,0.03333333333333333,0.022222222222222223,0.027777777777777776
0.0,45,0.06896551724137931,0.053763440860215055,0.061364479050797185
0.0,46,0.04878048780487805,0.04081632653061224,0.04479840716774515
0.0,47,0.011235955056179775,0.04395604395604396,0.027595999506111867
0.0,48,0.054945054945054944,0.0898876404494382,0.07241634769724657
0.0,49,0.060240963855421686,0.030927835051546393,0.04558439945348404
0.05,0,0.08602150537634409,0.10344827586206896,0.09473489061920654
0.05,1,0.07058823529411765,0.09473684210526316,0.0826625386996904
0.05,2,0.13186813186813187,0.1348314606741573,0.13334979627114457
0.05,3,0.06666666666666667,0.1111111111111111,0.08888888888888888
0.05,4,0.1686746987951807,0.061855670103092786,0.11526518444913675
0.05,5,0.12643678160919541,0.10752688172043011,0.11698183166481277
0.05,6,0.06818181818181818,0.09782608695652174,0.08300395256916995
0.05,7,0.0851063829787234,0.09302325581395349,0.08906481939633845
0.05,8,0.10714285714285714,0.09375,0.10044642857142858
0.05,9,0.09210526315789473,0.07692307692307693,0.08451417004048584
0.05,10,0.1744186046511628,0.11702127659574468,0.14571994062345373
0.05,11,0.0891089108910891,0.0379746835443038,0.06354179721769646
0.05,12,0.09302325581395349,0.0851063829787234,0.08906481939633845
0.05,13,0.046511627906976744,0.11702127659574468,0.08176645225136071
0.05,14,0.10869565217391304,0.13636363636363635,0.12252964426877469
0.05,15,0.08602150537634409,0.08045977011494253,0.0832406377456433
0.05,16,0.1,0.1,0.1
0.05,17,0.10112359550561797,0.14285714285714285,0.12199036918138041
0.05,18,0.16853932584269662,0.08791208791208792,0.12822570687739226
0.05,19,0.11702127659574468,0.12790697674418605,0.12246412666996537
0.05,20,0.13829787234042554,0.08139534883720931,0.10984661058881742
0.05,21,0.09345794392523364,0.1232876712328767,0.10837280757905518
0.05,22,0.07142857142857142,0.07317073170731707,0.07229965156794424
0.05,23,0.10588235294117647,0.06315789473684211,0.08452012383900928
0.05,24,0.14285714285714285,0.16853932584269662,0.15569823434991975
0.05,25,0.15555555555555556,0.1111111111111111,0.13333333333333333
0.05,26,0.12643678160919541,0.043010752688172046,0.08472376714868374
0.05,27,0.10843373493975904,0.08247422680412371,0.09545398087194137
0.05,28,0.12087912087912088,0.10112359550561797,0.11100135819236942
0.05,29,0.0625,0.13,0.09625
0.05,30,0.10526315789473684,0.09411764705882353,0.09969040247678018
0.05,31,0.04,0.0625,0.051250000000000004
0.05,32,0.07777777777777778,0.1111111111111111,0.09444444444444444
0.05,33,0.057692307692307696,0.15789473684210525,0.10779352226720648
0.05,34,0.09375,0.07142857142857142,0.08258928571428571
0.05,35,0.06818181818181818,0.06521739130434782,0.06669960474308301
0.05,36,0.10989010989010989,0.06741573033707865,0.08865292011359427
0.05,37,0.08080808080808081,0.13580246913580246,0.10830527497194165
0.05,38,0.06741573033707865,0.14285714285714285,0.10513643659711075
0.05,39,0.037037037037037035,0.0707070707070707,0.05387205387205387
0.05,40,0.10714285714285714,0.10416666666666667,0.1056547619047619
0.05,41,0.0784313725490196,0.07692307692307693,0.07767722473604827
0.05,42,0.12,0.1125,0.11624999999999999
0.05,43,0.12195121951219512,0.07142857142857142,0.09668989547038327
0.05,44,0.056818181818181816,0.11956521739130435,0.08819169960474309
0.05,45,0.0641025641025641,0.08823529411764706,0.07616892911010559
0.05,46,0.125,0.07,0.0975
0.05,47,0.042105263157894736,0.1411764705882353,0.09164086687306501
0.05,48,0.1276595744680851,0.06976744186046512,0.0987135081642751
0.05,49,0.0898876404494382,0.07692307692307693,0.08340535868625756
0.1,0,0.16091954022988506,0.15053763440860216,0.1557285873192436
0.1,1,0.14942528735632185,0.1827956989247312,0.1661104931405265
0.1,2,0.19791666666666666,0.14285714285714285,0.17038690476190477
0.1,3,0.0967741935483871,0.16091954022988506,0.12884686688913607
0.1,4,0.15294117647058825,0.15789473684210525,0.15541795665634675
0.1,5,0.14432989690721648,0.18072289156626506,0.16252639423674076
0.1,6,0.12,0.17142857142857143,0.1457142857142857
0.1,7,0.16470588235294117,0.21052631578947367,0.1876160990712074
0.1,8,0.12087912087912088,0.1797752808988764,0.15032720088899865
0.1,9,0.15555555555555556,0.16666666666666666,0.1611111111111111
0.1,10,0.15730337078651685,0.14285714285714285,0.15008025682182985
0.1,11,0.1797752808988764,0.16483516483516483,0.1723052228670206
0.1,12,0.13924050632911392,0.1485148514851485,0.1438776789071312
0.1,13,0.12195121951219512,0.15306122448979592,0.13750622200099552
0.1,14,0.20652173913043478,0.20454545454545456,0.20553359683794467
